,open,high,low,close,volume,trade_count,vwap
2021-02-16,818.01,821.0,792.44,796.22,19802602,703338,803.631013
2021-02-17,778.17,799.84,762.01,798.15,26080058,925853,781.230234
2021-02-18,780.9,794.69,776.27,787.38,17960528,563102,786.468944
2021-02-19,794.69,796.7899,777.37,781.3,18968255,618580,785.726796
2021-02-22,760.88,768.5,710.2,714.5,37270058,1355574,738.855442
2021-02-23,661.5,713.6099,619.0,698.84,66706494,2040541,675.480629
2021-02-24,711.6,745.0,694.17,742.02,36766966,1004866,722.024299
2021-02-25,725.11,737.2066,670.58,682.22,39025072,1292757,701.699745
2021-02-26,699.86,706.7,659.51,675.5,41490883,1141069,680.523594
2021-03-01,690.11,872.0,685.05,718.43,27236343,820205,706.908037
2021-03-02,718.23,721.11,685.0,686.44,23732185,842211,702.218577
2021-03-03,687.94,700.7,651.705,653.2,30208266,1046912,675.609582
2021-03-04,653.71,873.94,600.0,621.44,65994582,2044218,625.914625
2021-03-05,625.61,627.8419,539.49,597.95,89398527,2557912,583.754583
2021-03-08,600.49,620.125,558.79,563.0,51787320,1582497,586.799145
2021-03-09,608.59,678.09,595.21,673.58,67526655,1857658,645.298549
2021-03-10,700.52,717.85,655.06,668.06,60611777,1645356,683.770427
2021-03-11,699.72,702.5,677.18,699.6,36253903,1025554,692.437207
2021-03-12,668.67,694.88,666.1394,693.73,33615551,1009442,683.434879
2021-03-15,694.0,713.18,684.04,707.94,29424572,874727,702.192371
2021-03-16,703.42,707.92,671.0,676.88,32195678,930902,691.485896
2021-03-17,655.81,703.73,651.01,701.81,40372475,1015368,679.778933
2021-03-18,684.64,689.23,652.0,653.16,33381190,1017966,671.756297
2021-03-19,647.6,657.23,624.6201,654.87,42923181,1057845,645.638345
2021-03-22,684.98,699.62,668.75,670.0,39672224,1058261,686.090552
2021-03-23,675.73,677.8,657.51,662.16,30491873,787148,667.877651
2021-03-24,668.02,668.02,630.11,630.27,33795293,919140,650.213142
2021-03-25,612.06,645.5,609.5,640.39,39227556,958382,629.848983
2021-03-26,642.54,643.82,599.89,618.71,33859502,1107683,618.965789
2021-03-29,615.75,616.48,596.02,611.29,28753042,941331,606.917087
2021-03-30,602.2,637.66,591.01,635.62,39432359,890515,617.836714
2021-03-31,646.95,672.0,641.11,667.93,33337386,814053,659.534667
2021-04-01,688.67,692.4203,659.42,661.75,35288293,874248,675.897082
2021-04-05,708.0,708.16,684.7,691.05,41851500,1056122,697.25735
2021-04-06,690.54,696.55,681.37,691.62,28259344,658438,690.336493
2021-04-07,686.95,691.38,667.84,670.97,26164665,589423,680.371564
2021-04-08,677.88,689.5499,671.645,683.8,23908259,565500,682.666495
2021-04-09,677.88,680.97,669.43,677.02,21409521,609310,675.356951
2021-04-12,685.39,704.8,682.09,701.1,28514922,765973,698.033078
2021-04-13,713.24,763.0,710.83,762.35,43243779,1143851,742.138317
2021-04-14,770.56,780.79,728.03,732.73,48380943,1251817,755.284281
2021-04-15,743.51,743.69,721.31,738.7,27386795,721771,732.513418
2021-04-16,730.2,749.41,724.6,739.395,27305717,727007,736.593191
2021-04-19,718.0,725.4,691.8001,714.98,39309333,1001404,708.741548
2021-04-20,717.39,737.25,710.685,718.79,34937852,820998,722.209279
2021-04-21,704.4,744.84,698.0,743.91,30450439,748605,724.076159
2021-04-22,741.37,753.77,718.04,719.69,35564031,860264,734.842109
2021-04-23,720.97,737.36,715.46,729.4,29217524,628819,728.878656
2021-04-26,740.75,749.3,732.6053,738.2,31026791,877522,736.704552
2021-04-27,717.17,724.0,703.3501,704.74,29367169,905340,711.073255
2021-04-28,696.7,708.5,693.6,694.4,22039562,690943,699.069447
2021-04-29,700.0,702.25,668.5002,677.0,28724535,895420,681.173386
2021-04-30,667.77,715.47,666.14,709.44,40715302,1012830,698.75148
2021-05-03,703.55,706.0,680.5,684.9,27025002,760534,690.163298
2021-05-04,678.5,683.4464,657.701,673.6,29625227,869011,667.47296
2021-05-05,681.96,685.2955,667.34,670.94,21878884,564174,674.587961
2021-05-06,681.02,681.02,650.0,663.7,27198625,713533,663.09912
2021-05-07,665.66,690.0,660.22,672.37,23461071,582218,672.187364
2021-05-10,664.8,665.05,627.6101,629.04,31336228,938436,642.189401
2021-05-11,599.72,627.0999,595.6,617.2,46433614,1219138,611.752405
2021-05-12,602.0,620.41,586.765,589.8903,33206440,980851,601.76191
2021-05-13,601.87,606.4599,559.65,571.4,43732749,1287824,579.812626
2021-05-14,583.72,592.87,570.46,589.72,32935912,881742,583.383283
2021-05-17,575.34,589.73,561.2,576.83,32391095,836608,574.168108
2021-05-18,568.48,596.25,563.38,577.87,36831351,829994,582.089305
2021-05-19,551.58,566.21,546.98,563.46,39563564,1018731,556.832639
2021-05-20,575.0,588.85,571.07,586.78,30821524,663607,580.210019
2021-05-21,596.68,596.68,580.0,580.88,26230684,588056,587.435609
2021-05-24,581.63,614.48,573.65,606.44,34570666,728785,599.532123
2021-05-25,607.31,613.99,595.71,604.69,28005975,620964,602.994592
2021-05-26,607.83,626.17,601.5,619.13,28640592,650727,616.945208
2021-05-27,620.17,631.13,616.21,630.85,26413339,592404,623.328523
2021-05-28,628.5,635.59,622.38,625.22,22736938,541700,628.798132
2021-06-01,627.66,633.8,620.55,623.9,18084990,445658,626.333161
2021-06-02,620.33,623.36,599.14,605.12,23302828,681174,607.540467
2021-06-03,601.71,604.55,571.22,572.84,30109193,880515,588.348872
2021-06-04,580.0,600.61,577.2,599.05,24091196,564362,593.686594
2021-06-07,591.6,610.0,582.88,605.13,22543817,605297,592.903969
2021-06-08,622.89,623.09,595.5,603.59,26070618,584211,606.564722
2021-06-09,602.37,611.79,597.6301,598.78,16584567,384583,603.112389
2021-06-10,604.0,616.59,600.5,610.12,23901630,506944,610.590047
2021-06-11,610.12,612.56,601.52,609.89,16187148,378939,607.454767
2021-06-14,612.23,625.49,609.18,617.69,20414295,460592,617.967431
2021-06-15,616.74,616.79,598.23,599.36,17754263,438380,605.634884
2021-06-16,597.45,608.5,593.5,604.87,22114162,475920,601.111705
2021-06-17,601.55,621.47,601.34,616.6,22650108,502641,614.835473
2021-06-18,613.52,628.35,611.8,623.31,24568178,500910,620.446866
2021-06-21,624.12,631.39,608.88,620.83,24785127,490051,620.894102
2021-06-22,618.74,628.5693,615.5,623.71,19144067,376082,622.988907
2021-06-23,632.0,657.204,630.04,656.57,31076713,675347,650.419425
2021-06-24,675.21,697.62,667.61,679.82,45964276,979036,684.478434
2021-06-25,689.58,693.81,668.7,671.87,32469263,606254,678.7906
2021-06-28,671.64,694.6999,670.32,688.72,21619848,476199,686.515999
2021-06-29,685.12,687.5099,675.89,680.76,17384914,392477,680.659149
