,TSLA,BTCUSD
2021-02-16,796.22,49192.0
2021-02-17,798.15,52109.0
2021-02-18,787.38,51599.0
2021-02-19,781.3,55699.0
2021-02-22,714.5,53923.0
2021-02-23,698.84,48429.0
2021-02-24,742.02,49725.0
2021-02-25,682.22,47147.0
2021-02-26,675.5,46143.0
2021-03-01,718.43,49620.0
2021-03-02,686.44,48399.0
2021-03-03,653.2,50804.0
2021-03-04,621.44,48495.03736466
2021-03-05,597.95,48888.0
2021-03-08,563.0,52283.46065832
2021-03-09,673.58,54729.0
2021-03-10,668.06,56227.0
2021-03-11,699.6,57885.0
2021-03-12,693.73,57371.0
2021-03-15,707.94,56100.0
2021-03-16,676.88,56420.0
2021-03-17,701.81,58500.0
2021-03-18,653.16,57844.0
2021-03-19,654.87,58338.0
2021-03-22,670.0,54423.0
2021-03-23,662.16,54666.0
2021-03-24,630.27,52435.0
2021-03-25,640.39,51861.0
2021-03-26,618.71,54454.0
2021-03-29,611.29,57760.03864647
2021-03-30,635.62,58701.0
2021-03-31,667.93,58800.0
2021-04-01,661.75,58911.0
2021-04-05,691.05,58895.0
2021-04-06,691.62,57926.0
2021-04-07,670.97,56511.0
2021-04-08,683.8,57861.0
2021-04-09,677.02,58126.0
2021-04-12,701.1,60010.0
2021-04-13,762.35,63200.0
2021-04-14,732.73,62832.0
2021-04-15,738.7,63332.0
2021-04-16,739.395,61741.0
2021-04-19,714.98,55924.0
2021-04-20,718.79,56301.0
2021-04-21,743.91,54198.0
2021-04-22,719.69,51531.0
2021-04-23,729.4,50652.0
2021-04-26,738.2,53721.263134
2021-04-27,704.74,54937.0
2021-04-28,694.4,54557.0
2021-04-29,677.0,53334.0
2021-04-30,709.44,57076.0
2021-05-03,684.9,57230.0
2021-05-04,673.6,53955.0
2021-05-05,670.94,57397.0
2021-05-06,663.7,56426.0
2021-05-07,672.37,56960.8923737
2021-05-10,629.04,55953.0
2021-05-11,617.2,56472.0
2021-05-12,589.8903,52580.0
2021-05-13,571.4,49471.0
2021-05-14,589.72,49955.0
2021-05-17,576.83,42930.0
2021-05-18,577.87,43159.0
2021-05-19,563.46,39511.0
2021-05-20,586.78,39954.0
2021-05-21,580.88,36795.0
2021-05-24,606.44,38349.0
2021-05-25,604.69,38663.57915565
2021-05-26,619.13,38932.39142434
2021-05-27,630.85,38642.0
2021-05-28,625.22,34956.0
2021-06-01,623.9,36299.09930157
2021-06-02,605.12,37467.0
2021-06-03,572.84,38977.14668646
2021-06-04,599.05,37179.0
2021-06-07,605.13,34124.0
2021-06-08,603.59,33438.0
2021-06-09,598.78,37077.0
2021-06-10,610.12,36736.0
2021-06-11,609.89,37450.0
2021-06-14,617.69,40237.57962233
2021-06-15,599.36,40150.0
2021-06-16,604.87,38574.98425645
2021-06-17,616.6,37839.0
2021-06-18,623.31,35473.0
2021-06-21,620.83,31695.72768548
2021-06-22,623.71,32394.0
2021-06-23,656.57,33467.0
2021-06-24,679.82,34713.0
2021-06-25,671.87,31372.0
2021-06-28,688.72,34428.48219863
2021-06-29,680.76,36142.0
2021-06-30,679.7,34888.36800874
2021-07-01,677.92,33588.84639428
2021-07-02,678.9,33634.0
2021-07-06,659.58,34107.88019104
2021-07-07,644.65,34198.0
2021-07-08,652.81,32562.0
2021-07-09,656.95,33927.95897072
2021-07-12,685.7,33036.0
2021-07-13,668.54,32456.0
2021-07-14,653.38,33034.0
2021-07-15,650.6,31767.0
2021-07-16,644.22,31611.10720834
2021-07-19,646.22,30919.0
2021-07-20,660.5,29544.62977015
2021-07-21,655.29,32060.0
2021-07-22,649.26,32227.0
2021-07-23,643.38,33083.0
2021-07-26,657.62,37279.0
2021-07-27,644.78,39108.0
2021-07-28,646.98,39608.0
2021-07-29,677.35,39798.0
2021-07-30,687.2,41348.0
2021-08-02,709.67,39415.0
2021-08-03,709.74,38259.0
2021-08-04,710.92,39660.0
2021-08-05,714.63,41029.0
2021-08-06,699.1,42628.0
2021-08-09,713.76,46254.0
2021-08-10,709.99,45615.0
2021-08-11,707.82,45700.0
2021-08-12,722.25,43955.0
2021-08-13,717.17,47632.0
2021-08-16,686.17,46068.9414608
2021-08-17,665.71,44900.0
2021-08-18,688.99,44792.0
2021-08-19,673.47,46446.0
2021-08-20,680.26,49082.0
2021-08-23,706.3,49634.0
2021-08-24,708.49,48206.0
2021-08-25,711.2,48837.0
2021-08-26,701.16,47255.35815582
2021-08-27,711.92,48987.14211391
2021-08-30,730.91,47766.0
2021-08-31,735.72,47057.0
2021-09-01,734.09,48431.0
2021-09-02,732.39,49702.0
2021-09-03,733.57,49762.0
2021-09-07,752.92,46849.36794365
2021-09-08,753.87,46653.0
2021-09-09,754.86,46488.0
2021-09-10,736.27,44747.0
2021-09-13,743.0,45000.0
2021-09-14,744.49,47092.0
2021-09-15,755.83,48136.0
2021-09-16,756.99,47595.0
2021-09-17,759.49,47153.0
2021-09-20,730.17,43515.0
2021-09-21,739.38,40945.0
2021-09-22,751.94,43494.0
2021-09-23,753.64,44782.0
2021-09-24,774.39,42982.33181548
2021-09-27,791.36,43111.0
2021-09-28,777.56,41730.0
2021-09-29,781.31,41400.84614868
2021-09-30,775.48,43729.0
2021-10-01,775.22,47991.0
2021-10-04,781.53,48828.0
2021-10-05,780.59,51362.0
2021-10-06,782.75,55121.35366888
2021-10-07,793.61,53907.0
2021-10-08,785.49,54175.0
2021-10-11,791.94,57235.36061439
2021-10-12,805.72,56258.0
2021-10-13,811.08,57487.0
2021-10-14,818.32,57570.0
2021-10-15,843.03,61394.0
2021-10-18,870.11,61825.0
2021-10-19,864.27,63905.0
2021-10-20,865.8,65949.71966598
2021-10-21,894.0,62534.0
2021-10-22,909.68,60742.0
2021-10-25,1024.86,62988.0
2021-10-26,1018.43,60138.0
2021-10-27,1037.86,58517.0
2021-10-28,1077.04,60600.0
2021-10-29,1114.0,62295.0
2021-11-01,1208.59,61140.0
2021-11-02,1172.0,63034.0
2021-11-03,1213.86,62859.0
2021-11-04,1229.91,61218.0
2021-11-05,1222.09,61148.05384448
2021-11-08,1162.94,67524.0
2021-11-09,1023.5,67011.0
2021-11-10,1067.95,64761.0
2021-11-11,1063.51,64861.0
2021-11-12,1033.42,64027.43218356
2021-11-15,1013.39,63711.0
2021-11-16,1054.73,60189.0
2021-11-17,1089.01,60308.07122152
2021-11-18,1096.38,56895.0
2021-11-19,1137.06,58020.0
2021-11-22,1156.87,56427.0
2021-11-23,1109.03,57693.0
2021-11-24,1116.0,57200.0
2021-11-26,1081.92,53831.0
2021-11-29,1136.99,57815.40320895
2021-11-30,1144.76,56916.0
2021-12-01,1095.0,57141.0
2021-12-02,1084.6,56552.0
2021-12-03,1014.97,53812.0
2021-12-06,1009.01,50356.0
2021-12-07,1051.75,50613.0
2021-12-08,1068.96,50431.0
2021-12-09,1003.8,47987.0
2021-12-10,1017.03,47575.0
2021-12-13,966.41,46786.0
2021-12-14,958.51,48244.0
2021-12-15,975.99,48782.0
2021-12-16,926.92,47703.82693622
2021-12-17,932.57,46320.24546699
2021-12-20,899.94,46980.0
2021-12-21,938.53,49074.0
2021-12-22,1008.87,48634.0
2021-12-23,1067.0,50733.0
2021-12-27,1093.94,50839.73772854
2021-12-28,1088.47,47728.0
2021-12-29,1086.19,46398.0
2021-12-30,1070.34,47113.0
2021-12-31,1056.78,46394.0
2022-01-03,1199.78,46469.26888245
2022-01-04,1149.59,45890.0
2022-01-05,1088.12,43619.0
2022-01-06,1064.7,43139.0
2022-01-07,1026.96,41444.33190813
2022-01-10,1058.12,41797.0
2022-01-11,1064.4,42748.87960691
2022-01-12,1106.22,43942.72332998
2022-01-13,1031.56,42659.0
2022-01-14,1049.61,43074.0
2022-01-18,1030.51,42400.93781324
2022-01-19,995.65,41703.87030438
2022-01-20,996.27,40719.0
2022-01-21,943.9,36477.0
2022-01-24,930.0,36727.0
2022-01-25,918.4,37019.52306965
2022-01-26,937.41,36875.0
2022-01-27,829.1,37086.0
2022-01-28,846.35,37771.0081557
2022-01-31,936.72,38409.97353993
2022-02-01,931.25,38834.0
2022-02-02,905.66,36903.0
2022-02-03,891.14,37042.0
2022-02-04,923.32,41408.09980261
2022-02-07,907.34,43912.0
2022-02-08,922.0,44130.0
2022-02-09,932.0,44400.0
2022-02-10,904.55,43485.0
2022-02-11,860.0,42378.0
2022-02-14,875.76,42611.0
2022-02-15,922.43,44691.0
